title,preview,link,image
Kendall Jenner's romance with Jordan Clarkson is 'heating up',"Kendall Jenner's relationship with Los Angeles Lakers player Jordan Clarkson is heating up, according to reports.",http://www.music-news.com/news/UK/96901/Kendall-Jenner-s-romance-with-Jordan-Clarkson-is-heating-up,http://www.music-news.com/images/news/cover/96901.jpg
Paul McCartney and PETA US Most Vegan-Friendly City in the US,"Presenting a bouquet of roses carved from vegetables, Paul McCartney and PETA US Vice President Dan Mathews congratulated Mayor Charlie",http://www.music-news.com/news/UK/96905/Paul-McCartney-and-PETA-US-Most-Vegan-Friendly-City-in-the-US,http://www.music-news.com/images/news/Paul-McCartney.jpg
Paul McCartney and PETA US name most vegan-friendly US city,"Presenting a bouquet of roses carved from vegetables, Paul McCartney and PETA US Vice President Dan Mathews congratulated Mayor Charlie",http://www.music-news.com/news/UK/96906/Paul-McCartney-and-PETA-US-name-most-vegan-friendly-US-city,http://www.music-news.com/images/news/Paul-McCartney.jpg
All Things Music Pass: The Rise and Fall of Tower Records,"Tower Records, one of the most loved retail brands in music history, will be brought back to prominence in brand new feature film",http://www.music-news.com/news/UK/96907/All-Things-Music-Pass-The-Rise-and-Fall-of-Tower-Records,http://www.music-news.com/images/news/allthingsmustpass.jpg
James Bay and Villagers nominatated for Ivor Novello Awards,"BASCA, in association with PRS for Music, announce the nominations for the 61st Ivor Novello Awards [The Ivors].  The Ivors will take place",http://www.music-news.com/news/UK/96899/James-Bay-and-Villagers-nominatated-for-Ivor-Novello-Awards,http://www.music-news.com/images/news/james-bay.jpg
Blake Shelton: 'This album is literally the best I can do',Blake Shelton has teased fans that his next album If I'm Honest will be his last.,http://www.music-news.com/news/UK/96900/Blake-Shelton-This-album-is-literally-the-best-I-can-do,http://www.music-news.com/images/news/cover/96900.jpg
Gwen Stefani and Gavin Rossdale finalise divorce,Gwen Stefani and Gavin Rossdale have reached a divorce settlement.,http://www.music-news.com/news/UK/96958/Gwen-Stefani-and-Gavin-Rossdale-finalise-divorce,http://www.music-news.com/images/news/cover/96958.jpg
Beyonce teams with charities on upcoming tour,Beyonce is calling on fans to get in formation for philanthropic efforts.,http://www.music-news.com/news/UK/96959/Beyonce-teams-with-charities-on-upcoming-tour,http://www.music-news.com/images/news/cover/96959.jpg
Garbage release new single 'Empty',"Garbage (Shirley Manson, Steve Marker, Duke Erikson and Butch Vig) have unveiled their new single “Empty” from their forthcoming album Strange Little Birds",http://www.music-news.com/news/UK/96957/Garbage-release-new-single-Empty,http://www.music-news.com/images/news/garbage.jpg
"Rihanna bares all for hard-hitting, gun-toting new video","Rihanna is testing fans' taste again in a racy and violent new promo, directed by filmmaker Harmony Korrine.",http://www.music-news.com/news/UK/96948/Rihanna-bares-all-for-hard-hitting-gun-toting-new-video,http://www.music-news.com/images/news/cover/96948.jpg
Meghan Trainor reveals her dream future husband,Meghan Trainor was reduced to tears once again when she was presented with her engraved Grammy Award on The Ellen DeGeneres Show on Wednesday (20Apr16).,http://www.music-news.com/news/UK/96942/Meghan-Trainor-reveals-her-dream-future-husband,http://www.music-news.com/images/news/cover/96942.jpg
Nick Carter welcomes baby boy,The singer and his wife are new parents after struggling to conceive.,http://www.music-news.com/news/UK/96944/Nick-Carter-welcomes-baby-boy,http://www.music-news.com/images/news/cover/96944.jpg
Flume: I want to start doing more collaborative stuff,Yesterday Zane Lowe interviewed Flume and played tracks from Issues and ELEL.,http://www.music-news.com/news/UK/96938/Flume-I-want-to-start-doing-more-collaborative-stuff,http://www.music-news.com/images/news/Flume.jpg
Good Charlotte went on hiatus to reboot creativity,Benji Madden's time away from Good Charlotte meant it felt like he was starting over when the group reformed.,http://www.music-news.com/news/UK/96941/Good-Charlotte-went-on-hiatus-to-reboot-creativity,http://www.music-news.com/images/news/cover/96941.jpg
"Paul McCartney, Ringo Starr, Eric Clapton back Testicular Cancer charity","Sir Paul McCartney, Ringo Starr, Eric Clapton and Brian May are among several celebrities who are auctioning off their own ties and scarves for charity.",http://www.music-news.com/news/UK/96935/Paul-McCartney-Ringo-Starr-Eric-Clapton-back-Testicular-Cancer-charity,http://www.music-news.com/images/news/Paul-McCartney.jpg
